             ,,,HARGA USER ( LANTAI ),,,,HARGA USER ( AKSESORIS ),,,,,,
NAMA BARANG,HARGA,,NAMA BARANG,HARGA,,,NAMA BARANG,HARGA,,,,,
"WPC PANEL (3M)   L = 12,5 , 15, 15,8 , 17, 19,5", Rp 88.800 ,NEW,VINIL (3MM) 01-13, Rp 370.800 ,NEW,,KLIP / PCS,Rp550,NEW,,,,
WPC PANEL 3M GBB, Rp 83.800 ,NEW,VINIL (2MM), Rp 299.500 ,NEW,,KLIP 1 PACK (ISI 100PCS),Rp48.800,NEW,,,,
WPC PANEL (1M), Rp 36.000 ,NEW,VINYL ROLLAN (10M), Rp 559.500 ,NEW,,DOUBLE  TAPE ,Rp9.200,NEW,,,,
WPC PANEL  CA 11-15 30CM (3M)   , Rp 107.000 ,NEW,VINYL ROLLAN (5M), Rp 318.800 ,NEW,,SKRUP 1 PACK,Rp13.500,NEW,,,,
WPC PANEL 30CM (3M)   101 - 105  (3m),      ,NEW,SPC LANTAI (5MM), Rp 401.500 ,NEW,,LEM SEALENT ASAM,Rp27.000,NEW,,,,
WPC PANEL 30CM (1M), Rp 46.800 ,NEW,SPC LANTAI (4MM), Rp 391.500 ,KOSONG ,,LEM SEALENT NETRAL,Rp39.000,NEW,,,,
WALLBOARD (3M)    L = 40CM, Rp 116.800 ,NEW,UNDERLAYER (1M), Rp 13.000 ,NEW,,TEMBAKAN SEALENT,Rp27.000,NEW,,,,
"WALLBOARD (1,5M)", Rp 74.800 ,NEW,"DECKING (AT-CD)    L = 14CM T = 2,2CM", Rp 202.500 ,NEW,,LEM KOREA,Rp8.200,NEW,,,,
WPC OUTDOOR (TUNGGAL) 3M    L = 22CM, Rp 242.200 ,NEW,SIKU DECKING & JOIST  P = 290CM, Rp 95.800 ,NEW,,KLIP RUBBER GYM 1 PACK (ISI 6 PCS),Rp37.500,NEW,,,,
"WPC OUTDOOR (TUNGGAL) 1,5M", Rp 130.900 ,NEW,LIST PLANK  T = 8CM X P = 240CM, Rp 45.800 ,NEW,,LEM WALPAPER ,Rp27.000,NEW,,,HARGA SHOP,
