[2026-03-18T04:50:03.471Z] Scratch test
[2026-03-18T04:54:12.817Z] GET /api/settings
[2026-03-18T04:58:33.330Z] OPTIONS /api/settings
[2026-03-18T04:58:33.336Z] GET /api/settings
[2026-03-18T04:58:37.133Z] GET /api/settings
[2026-03-18T04:58:44.158Z] OPTIONS /api/products/import
[2026-03-18T04:58:44.162Z] POST /api/products/import
[2026-03-18T04:58:49.412Z] OPTIONS /api/master-ledger/import
[2026-03-18T04:58:49.415Z] POST /api/master-ledger/import
[2026-03-18T04:58:51.895Z] OPTIONS /api/invoices
[2026-03-18T04:58:51.907Z] GET /api/invoices
[2026-03-18T04:58:52.827Z] OPTIONS /api/users
[2026-03-18T04:58:52.829Z] OPTIONS /api/products
[2026-03-18T04:58:52.833Z] GET /api/users
[2026-03-18T04:58:52.835Z] GET /api/products
[2026-03-18T04:59:02.824Z] OPTIONS /api/ocr/scan
[2026-03-18T04:59:02.830Z] POST /api/ocr/scan
[2026-03-18T04:59:28.309Z] OPTIONS /api/products
[2026-03-18T04:59:28.313Z] GET /api/products
[2026-03-18T04:59:29.291Z] OPTIONS /api/users
[2026-03-18T04:59:29.295Z] GET /api/users
[2026-03-18T04:59:36.579Z] OPTIONS /api/products
[2026-03-18T04:59:36.581Z] GET /api/products
[2026-03-18T04:59:51.928Z] OPTIONS /api/invoices
[2026-03-18T04:59:51.948Z] GET /api/invoices
[2026-03-18T04:59:53.436Z] OPTIONS /api/users
[2026-03-18T04:59:53.437Z] OPTIONS /api/products
[2026-03-18T04:59:53.440Z] GET /api/users
[2026-03-18T04:59:53.445Z] GET /api/products
[2026-03-18T04:59:56.887Z] OPTIONS /api/ocr/scan
[2026-03-18T04:59:56.890Z] POST /api/ocr/scan
[2026-03-18T05:00:15.462Z] OPTIONS /api/auth/login
[2026-03-18T05:00:15.465Z] POST /api/auth/login
[2026-03-18T05:00:15.562Z] OPTIONS /api/invoices
[2026-03-18T05:00:15.569Z] OPTIONS /api/settings
[2026-03-18T05:00:15.574Z] GET /api/invoices
[2026-03-18T05:00:15.577Z] GET /api/settings
[2026-03-18T05:00:16.845Z] GET /api/invoices
[2026-03-18T05:00:17.216Z] GET /api/invoices
[2026-03-18T05:00:18.038Z] OPTIONS /api/users
[2026-03-18T05:00:18.039Z] OPTIONS /api/products
[2026-03-18T05:00:18.047Z] GET /api/users
[2026-03-18T05:00:18.049Z] GET /api/products
[2026-03-18T05:00:20.765Z] OPTIONS /api/ocr/scan
[2026-03-18T05:00:20.767Z] POST /api/ocr/scan
[2026-03-18T05:00:35.957Z] OPTIONS /api/invoices
[2026-03-18T05:00:35.961Z] POST /api/invoices
[2026-03-18T05:00:36.079Z] GET /api/invoices
[2026-03-18T05:00:37.860Z] GET /api/invoices
[2026-03-18T05:00:40.882Z] OPTIONS /api/invoice-detail?id=INV%2F26%2F02%2F001538
[2026-03-18T05:00:40.892Z] GET /api/invoice-detail?id=INV%2F26%2F02%2F001538
[2026-03-18T06:04:44.008Z] OPTIONS /api/users
[2026-03-18T06:04:44.010Z] OPTIONS /api/products
[2026-03-18T06:04:44.015Z] GET /api/users
[2026-03-18T06:04:44.017Z] GET /api/products
[2026-03-25T01:33:34.247Z] OPTIONS /api/auth/login
[2026-03-25T01:33:34.253Z] POST /api/auth/login
[2026-03-25T01:33:38.382Z] POST /api/auth/login
[2026-03-25T01:34:17.862Z] OPTIONS /api/auth/login
[2026-03-25T01:34:17.865Z] POST /api/auth/login
[2026-03-25T01:34:17.963Z] OPTIONS /api/invoices
[2026-03-25T01:34:17.966Z] OPTIONS /api/settings
[2026-03-25T01:34:18.039Z] GET /api/invoices
[2026-03-25T01:34:18.041Z] GET /api/settings
[2026-03-25T01:34:21.730Z] GET /api/invoices
[2026-03-25T01:34:28.131Z] OPTIONS /api/invoices
[2026-03-25T01:34:28.134Z] GET /api/invoices
[2026-03-25T01:34:30.677Z] OPTIONS /api/invoice-detail?id=INV%2F26%2F02%2F001538
[2026-03-25T01:34:30.711Z] GET /api/invoice-detail?id=INV%2F26%2F02%2F001538
[2026-03-25T01:34:40.348Z] OPTIONS /api/invoices
[2026-03-25T01:34:40.350Z] OPTIONS /api/settings
[2026-03-25T01:34:40.352Z] GET /api/invoices
[2026-03-25T01:34:40.355Z] GET /api/settings
[2026-03-25T01:34:41.942Z] OPTIONS /api/products
[2026-03-25T01:34:41.944Z] GET /api/products
[2026-03-25T01:34:44.411Z] GET /api/invoices
[2026-03-25T01:34:44.413Z] GET /api/settings
[2026-03-25T01:34:45.057Z] GET /api/invoices
[2026-03-25T01:34:45.949Z] OPTIONS /api/invoices
[2026-03-25T01:34:45.955Z] GET /api/invoices
[2026-03-25T01:34:54.319Z] OPTIONS /api/users
[2026-03-25T01:34:54.358Z] GET /api/users
[2026-03-25T01:34:55.627Z] OPTIONS /api/settings
[2026-03-25T01:34:55.630Z] GET /api/settings
[2026-03-25T01:35:11.273Z] OPTIONS /api/invoices
[2026-03-25T01:35:11.277Z] OPTIONS /api/settings
[2026-03-25T01:35:11.283Z] GET /api/invoices
[2026-03-25T01:35:11.287Z] GET /api/settings
[2026-03-25T01:35:11.592Z] GET /api/invoices
[2026-03-25T01:35:14.783Z] OPTIONS /api/invoice-detail?id=INV%2F26%2F02%2F001538
[2026-03-25T01:35:14.785Z] GET /api/invoice-detail?id=INV%2F26%2F02%2F001538
[2026-03-25T01:35:42.084Z] OPTIONS /api/invoices
[2026-03-25T01:35:42.086Z] GET /api/invoices
[2026-03-25T01:35:42.930Z] OPTIONS /api/users
[2026-03-25T01:35:42.932Z] OPTIONS /api/products
[2026-03-25T01:35:42.934Z] GET /api/users
[2026-03-25T01:35:42.936Z] GET /api/products
[2026-03-25T01:35:46.595Z] OPTIONS /api/ocr/scan
[2026-03-25T01:35:46.599Z] POST /api/ocr/scan
[2026-03-25T01:37:29.059Z] OPTIONS /api/invoices
[2026-03-25T01:37:29.078Z] GET /api/invoices
[2026-03-25T01:38:43.282Z] OPTIONS /api/invoices
[2026-03-25T01:38:43.284Z] GET /api/invoices
[2026-03-25T01:38:43.700Z] OPTIONS /api/settings
[2026-03-25T01:38:43.701Z] GET /api/invoices
[2026-03-25T01:38:43.703Z] GET /api/settings
[2026-03-25T01:38:44.186Z] GET /api/invoices
[2026-03-25T01:38:48.678Z] OPTIONS /api/invoices
[2026-03-25T01:38:48.679Z] GET /api/settings
[2026-03-25T01:38:48.680Z] GET /api/invoices
[2026-03-25T01:38:49.583Z] OPTIONS /api/products
[2026-03-25T01:38:49.586Z] GET /api/products
[2026-03-25T01:38:50.471Z] OPTIONS /api/users
[2026-03-25T01:38:50.474Z] GET /api/users
[2026-03-25T01:39:00.862Z] OPTIONS /api/settings
[2026-03-25T01:39:00.869Z] GET /api/settings
[2026-03-25T01:39:05.064Z] OPTIONS /api/users
[2026-03-25T01:39:05.068Z] GET /api/users
[2026-03-25T01:39:15.229Z] OPTIONS /api/users/4
[2026-03-25T01:39:15.231Z] PUT /api/users/4
[2026-03-25T01:39:15.313Z] OPTIONS /api/users
[2026-03-25T01:39:15.319Z] GET /api/users
[2026-03-25T01:39:23.574Z] OPTIONS /api/auth/login
[2026-03-25T01:39:23.576Z] POST /api/auth/login
[2026-03-25T01:39:23.675Z] OPTIONS /api/invoices
[2026-03-25T01:39:23.677Z] OPTIONS /api/settings
[2026-03-25T01:39:23.693Z] GET /api/invoices
[2026-03-25T01:39:23.704Z] GET /api/settings
[2026-03-25T01:39:25.362Z] GET /api/invoices
[2026-03-25T01:39:27.357Z] GET /api/invoices
[2026-03-25T01:39:29.116Z] OPTIONS /api/invoices
[2026-03-25T01:39:29.119Z] GET /api/invoices
[2026-03-25T01:39:30.310Z] OPTIONS /api/users
[2026-03-25T01:39:30.312Z] OPTIONS /api/products
[2026-03-25T01:39:30.314Z] GET /api/users
[2026-03-25T01:39:30.317Z] GET /api/products
[2026-03-25T01:39:33.486Z] OPTIONS /api/ocr/scan
[2026-03-25T01:39:33.489Z] POST /api/ocr/scan
[2026-03-25T01:39:57.940Z] OPTIONS /api/invoices
[2026-03-25T01:39:57.941Z] POST /api/invoices
[2026-03-25T01:40:20.823Z] OPTIONS /api/invoices
[2026-03-25T01:40:20.825Z] OPTIONS /api/settings
[2026-03-25T01:40:20.827Z] GET /api/invoices
[2026-03-25T01:40:20.829Z] GET /api/settings
[2026-03-25T01:40:21.337Z] GET /api/invoices
[2026-03-25T01:40:21.672Z] GET /api/invoices
[2026-03-25T01:40:23.166Z] OPTIONS /api/invoice-detail?id=INV%2F26%2F02%2F001538
[2026-03-25T01:40:23.169Z] GET /api/invoice-detail?id=INV%2F26%2F02%2F001538
[2026-03-25T01:40:24.923Z] GET /api/invoices
[2026-03-25T01:40:24.924Z] GET /api/settings
[2026-03-25T01:44:59.424Z] OPTIONS /api/settings
[2026-03-25T01:44:59.433Z] GET /api/settings
[2026-03-25T01:49:42.810Z] OPTIONS /api/invoices
[2026-03-25T01:49:42.812Z] OPTIONS /api/settings
[2026-03-25T01:49:42.814Z] GET /api/invoices
[2026-03-25T01:49:42.816Z] GET /api/settings
[2026-03-25T01:50:42.356Z] OPTIONS /api/invoices
[2026-03-25T01:50:42.359Z] GET /api/invoices
[2026-03-25T01:50:44.044Z] GET /api/invoices
[2026-03-25T01:50:44.569Z] GET /api/invoices
[2026-03-25T01:50:44.874Z] OPTIONS /api/settings
